msisdn,peer_msisdn,imei,tower_id,ts_start,duration_sec,call_type
9811000001,9722000001,863700045123001,TOWER_MHI_01,2025-02-03 10:12:00,143,CALL
9811000001,9722000001,863700045123001,TOWER_MHI_01,2025-02-03 10:15:00,0,SMS
9811000001,9722000002,863700045123001,TOWER_MHI_01,2025-02-03 12:30:00,112,CALL
9811000001,9722000003,863700045123001,TOWER_MHI_02,2025-02-04 09:45:00,98,CALL
9811000002,9722000004,863700045123001,TOWER_MHI_02,2025-02-04 14:00:00,76,CALL
9811000002,9722000004,863700045123001,TOWER_MHI_02,2025-02-04 14:03:00,0,SMS
9811000002,9722000005,863700045123001,TOWER_MHI_03,2025-02-05 11:20:00,88,CALL
9811000003,9722000001,863700045123001,TOWER_MHI_03,2025-02-06 08:55:00,101,CALL
9811000003,9722000003,863700045123001,TOWER_MHI_03,2025-02-06 16:00:00,67,CALL
9811000003,9722000005,863700045123001,TOWER_MHI_04,2025-02-07 13:00:00,82,CALL
9811000003,9722000002,863700045123001,TOWER_MHI_04,2025-02-07 14:30:00,71,CALL
9811000003,9722000004,863700045123001,TOWER_MHI_04,2025-02-07 15:00:00,55,CALL
9811000003,9722000001,863700045123001,TOWER_MHI_04,2025-02-07 15:05:00,48,CALL
9811000003,9722000002,863700045123001,TOWER_MHI_04,2025-02-07 15:10:00,52,CALL
9811000003,9722000003,863700045123001,TOWER_MHI_04,2025-02-07 15:15:00,61,CALL
9811000003,9722000004,863700045123001,TOWER_MHI_04,2025-02-07 15:20:00,44,CALL
9811000003,9722000005,863700045123001,TOWER_MHI_04,2025-02-07 15:25:00,57,CALL
9811000003,9722000001,863700045123001,TOWER_MHI_04,2025-02-07 15:30:00,39,CALL
9811000003,9722000002,863700045123001,TOWER_MHI_04,2025-02-07 15:35:00,46,CALL
9811000003,9722000003,863700045123001,TOWER_MHI_04,2025-02-07 15:40:00,53,CALL
9811000003,9722000004,863700045123001,TOWER_MHI_04,2025-02-07 15:45:00,41,CALL
9811000003,9722000005,863700045123001,TOWER_MHI_04,2025-02-07 15:50:00,38,CALL
9811000003,9722000001,863700045123001,TOWER_MHI_04,2025-02-07 15:55:00,62,CALL
9811000003,9722000003,863700045123001,TOWER_MHI_04,2025-02-07 15:58:00,49,CALL
9933000001,9811000001,863700045123099,TOWER_MHI_05,2025-02-01 09:00:00,28,CALL
9933000001,9811000001,863700045123099,TOWER_MHI_05,2025-02-01 09:05:00,0,SMS
9933000002,9811000001,863700045123088,TOWER_MHI_06,2025-02-02 10:00:00,22,CALL
9933000003,9811000001,863700045123077,TOWER_MHI_07,2025-02-03 08:30:00,19,CALL
9722000001,9600000011,863700045123011,TOWER_MHI_08,2025-02-03 08:00:00,55,CALL
9722000002,9600000012,863700045123022,TOWER_MHI_09,2025-02-03 09:00:00,48,CALL
9722000003,9600000013,863700045123033,TOWER_MHI_10,2025-02-04 07:30:00,42,CALL
9722000004,9600000014,863700045123044,TOWER_MHI_11,2025-02-04 13:00:00,38,CALL
9722000005,9600000015,863700045123055,TOWER_MHI_12,2025-02-05 10:00:00,31,CALL
